"x","y","p"
86,30,5
86,31,3
86,32,3
86,33,3
86,34,3
86,35,1
86,36,5
86,37,4
86,38,1
86,39,4
86,40,5
86,41,0
86,44,0
86,45,0
86,46,0
86,47,0
86,48,0
86,49,5
86,50,3
86,51,1
86,52,2
86,53,5
86,54,3
86,55,5
86,56,5
86,57,0
86,58,5
86,59,3
86,60,3
86,61,3
86,62,5
86,63,0
86,64,2
86,65,5
86,66,1
86,67,2
86,68,2
86,69,2
86,70,5
86,71,1
86,72,5
86,73,3
86,74,4
86,75,2
86,76,0
86,77,5
86,78,5
86,79,4
86,80,3
86,81,0
86,82,1
86,83,0
86,84,0
86,85,0
86,86,5
86,87,0
86,88,0
86,89,0
86,90,0
86,91,0
86,92,0
86,93,0
86,94,0
86,95,0
86,96,0
86,97,0
86,98,0
86,99,0
86,100,0
86,101,0
86,102,0
86,103,0
86,104,0
86,105,0
86,106,0
86,107,0
86,108,0
86,109,0
86,110,4
86,111,4
86,112,5
86,113,4
86,114,5
86,115,4
86,116,5
86,117,5
86,118,4
86,119,3
86,120,0
87,26,1
87,27,5
87,28,3
87,29,4
87,30,5
87,31,4
87,32,3
87,33,3
87,34,3
87,35,4
87,36,2
87,37,2
87,38,3
87,39,1
87,40,5
87,41,0
87,42,4
87,43,4
87,44,5
87,45,4
87,46,5
87,47,4
87,48,4
87,49,5
87,50,3
87,51,1
87,52,2
87,53,2
87,54,2
87,55,0
87,56,4
87,57,4
87,58,5
87,59,0
87,60,0
87,61,5
87,62,1
87,63,0
87,64,0
87,65,2
87,66,2
87,67,0
87,68,5
87,69,1
87,70,5
87,71,5
87,72,1
87,73,0
87,74,3
87,75,0
87,76,1
87,77,2
87,78,5
87,79,0
87,80,5
87,81,4
87,82,5
87,83,0
87,84,0
87,85,0
87,86,1
87,87,0
87,88,0
87,89,0
87,90,0
87,91,0
87,92,0
87,93,1
87,94,0
87,95,0
87,96,0
87,97,0
87,98,0
87,99,0
87,100,0
87,101,0
87,102,0
87,103,0
87,104,0
87,105,0
87,106,0
87,107,0
87,108,0
87,109,2
87,110,4
87,111,5
87,112,5
87,113,4
87,114,5
87,115,4
87,116,5
87,117,5
87,118,3
87,119,3
87,120,0
88,26,2
88,27,4
88,28,4
88,29,5
88,30,4
88,31,4
88,32,3
