"hour","x","y","twitter","instagram"
9,152,72,1,1
9,152,80,0,1
9,153,72,0,1
9,153,75,0,1
9,155,71,0,7
9,156,75,0,1
9,157,84,1,1
9,160,69,1,0
9,170,70,1,0
9,171,66,1,0
9,175,100,0,1
9,185,96,0,2
9,187,101,0,1
9,188,67,0,1
9,188,91,0,1
10,76,97,0,1
10,89,31,0,1
10,91,33,0,1
10,93,74,0,1
10,94,76,1,2
10,97,74,0,1
10,100,45,0,2
10,100,116,0,1
10,101,43,0,1
10,102,95,0,1
10,103,81,0,1
10,104,80,0,1
10,104,81,4,0
10,106,57,0,1
10,106,82,0,1
10,107,57,0,8
10,107,58,0,1
10,107,75,0,1
10,108,72,1,1
10,109,57,1,0
10,109,72,0,1
10,113,100,0,1
10,114,76,0,3
10,114,78,0,1
10,114,79,1,0
10,114,81,0,1
10,114,102,0,1
10,115,80,0,2
10,116,37,1,0
10,116,69,1,0
10,116,72,3,0
10,116,80,0,1
10,116,81,0,1
10,116,82,0,1
10,116,89,0,1
10,116,100,1,0
10,117,68,0,1
10,117,72,0,1
10,117,81,2,0
10,117,99,0,1
10,118,72,0,1
10,118,78,0,1
10,118,97,0,1
10,118,100,1,0
10,119,66,0,2
10,119,71,1,1
10,119,72,0,1
10,119,79,0,1
10,119,87,0,1
10,119,96,0,1
10,120,78,0,3
10,121,52,0,1
10,121,77,0,2
10,121,79,0,1
10,121,97,0,1
10,122,47,0,1
10,122,78,0,1
10,122,79,0,1
10,123,42,0,1
10,123,69,0,1
10,123,77,0,1
10,124,80,0,1
10,125,59,1,0
10,125,79,0,1
10,125,81,0,1
10,125,90,0,1
10,127,64,1,1
10,127,81,0,2
10,127,86,0,1
10,128,73,0,2
10,129,68,0,1
10,129,69,0,2
10,129,79,0,1
10,130,51,1,1
10,130,55,1,0
10,130,57,0,1
10,130,68,0,3
10,130,72,0,1
10,130,74,0,2
10,130,76,0,1
10,130,83,1,1
10,131,57,0,1
10,131,67,0,1
10,131,72,2,7
10,131,73,6,4
10,131,76,0,1
10,131,81,0,1
10,131,117,0,1
10,132,57,1,0
10,132,70,0,1
10,132,73,0,4
10,132,74,0,15
10,132,76,0,1
10,132,78,2,0
10,132,81,0,1
10,133,70,2,0
10,133,73,0,1
10,133,77,1,1
10,133,78,0,1
10,133,79,1,2
10,134,46,0,1
10,134,67,1,2
10,134,68,0,1
10,134,71,0,4
10,134,87,0,1
10,135,63,1,1
10,135,66,0,4
10,135,69,0,1
10,135,71,0,1
10,135,72,1,1
10,135,73,0,1
10,135,74,0,2
10,135,76,0,1
10,136,68,0,1
10,136,69,0,1
10,136,72,0,2
10,136,74,0,1
10,136,79,1,12
10,136,105,0,1
10,137,65,0,3
10,137,66,0,1
10,137,70,0,1
10,137,71,0,1
10,137,75,0,1
10,137,83,0,1
10,138,60,0,1
10,138,64,0,1
10,138,65,1,1
10,138,67,0,5
10,138,69,0,3
10,138,71,0,1
10,138,72,0,6
10,138,79,5,133
10,139,68,0,1
10,139,69,0,3
10,139,70,0,1
10,139,71,1,0
10,139,72,0,2
10,139,74,0,1
10,140,58,0,1
10,140,59,0,2
10,140,65,0,1
10,140,66,0,1
10,140,69,1,1
10,140,70,0,1
10,140,74,0,1
10,140,78,0,1
10,140,92,0,1
10,141,66,1,0
10,141,67,0,1
10,141,68,1,2
10,141,70,0,6
10,141,73,1,0
10,141,74,1,0
10,141,78,0,3
10,142,63,0,1
10,142,64,1,1
10,142,66,0,1
10,142,67,0,1
10,142,68,0,1
10,142,73,1,0
10,142,79,0,2
10,142,86,0,1
10,143,61,0,1
10,143,63,0,1
10,143,79,0,8
10,143,81,0,1
10,144,61,0,1
10,144,62,0,2
10,144,65,0,1
10,144,78,1,0
10,144,81,0,1
10,144,85,0,3
10,145,80,0,1
10,145,85,0,1
10,146,65,1,2
10,146,81,0,1
10,146,82,0,1
10,147,66,1,0
10,147,75,0,1
10,147,79,1,0
10,147,94,0,1
10,148,79,0,1
10,148,82,0,1
10,148,87,1,0
10,148,88,0,1
10,148,93,0,1
10,148,94,0,1
10,149,74,0,2
10,149,77,0,1
10,149,78,0,1
10,149,79,1,2
10,149,89,0,1
10,150,77,0,1
10,150,78,0,16
10,150,79,1,1
10,150,88,0,1
10,151,77,0,1
10,152,70,0,1
10,152,73,0,1
10,152,78,0,1
10,152,80,0,1
10,153,66,0,1
10,153,80,0,1
10,153,89,0,1
10,153,97,0,1
10,155,71,0,3
10,155,72,0,1
10,155,79,0,1
10,156,76,0,2
10,156,90,0,1
10,157,83,0,2
10,157,84,0,1
10,158,54,0,1
10,160,62,0,1
10,160,69,1,0
10,165,71,0,1
10,166,87,0,1
10,170,48,0,1
10,174,63,0,1
10,175,100,0,1
10,175,108,0,1
10,187,101,0,1
11,66,107,0,1
11,70,62,1,0
11,84,66,0,1
11,91,75,0,1
11,94,76,0,6
11,95,74,0,1
11,95,83,0,2
11,100,97,0,1
11,103,78,0,1
11,103,81,0,1
11,104,101,0,1
11,105,44,0,1
11,106,82,0,1
11,107,57,1,3
11,108,57,1,0
11,108,72,0,1
11,109,72,0,1
11,109,73,0,1
11,109,82,0,1
11,109,117,1,0
11,110,79,0,1
11,110,82,0,1
11,111,80,1,0
11,112,77,0,1
11,112,82,0,1
11,113,77,0,1
11,114,81,0,1
11,115,69,0,2
11,115,76,0,1
11,115,79,0,1
11,116,37,1,0
11,116,72,1,0
11,116,80,0,1
11,116,81,0,1
11,116,86,0,1
11,117,80,0,2
11,117,83,0,1
11,117,100,0,1
11,118,72,0,1
11,118,79,0,1
11,118,80,0,1
11,119,78,0,5
11,119,79,0,1
11,119,82,0,1
11,120,78,0,4
11,120,79,0,1
11,120,88,0,1
11,120,113,0,1
11,121,67,0,1
11,121,72,0,1
11,121,79,0,1
11,121,81,0,1
11,122,80,0,1
11,123,71,0,1
11,123,87,0,1
11,124,60,0,1
11,124,80,0,1
11,125,72,0,1
11,125,79,0,1
11,125,81,0,1
11,126,87,0,1
11,127,85,0,1
